    123 NORMALIZABLES	creatinina
     10 NORMALIZABLES	antiinflamatorios no esteroideos
      9 UNCLEAR	drogas
      9 PROTEINAS	TG
      9 PROTEINAS	insulina
      9 PROTEINAS	fibrina
      9 PROTEINAS	complemento
      9 PROTEINAS	colágeno
      9 PROTEINAS	AST
      9 NORMALIZABLES	tobramicina
      9 NORMALIZABLES	opioide
      9 NORMALIZABLES	metamizol
      9 NORMALIZABLES	meropenem
      9 NORMALIZABLES	gentamicina
      9 NORMALIZABLES	gadolinio
      9 NORMALIZABLES	espironolactona
      9 NORMALIZABLES	cobre
      9 NORMALIZABLES	cloxacilina
      9 NORMALIZABLES	carbonato cálcico
      9 NORMALIZABLES	amoxicilina
      9 NORMALIZABLES	amlodipino
      8 UNCLEAR	gluten
      8 PROTEINAS	rituximab
      8 PROTEINAS	enzimas hepáticas
      8 PROTEINAS	EMA
      8 PROTEINAS	desmina
      8 PROTEINAS	CPK
      8 PROTEINAS	AE1
      8 NORMALIZABLES	vitamina B12
      8 NORMALIZABLES	Urea
      8 NORMALIZABLES	talidomida
      8 NORMALIZABLES	metronidazol
      8 NORMALIZABLES	lípidos
      8 NORMALIZABLES	isoniacida
      8 NORMALIZABLES	heparina
      8 NORMALIZABLES	HCO3
      8 NORMALIZABLES	etopósido
      8 NORMALIZABLES	enoxaparina
      8 NORMALIZABLES	diazepam
      8 NORMALIZABLES	cortisol
      8 NORMALIZABLES	ceftriaxona
      8 NORMALIZABLES	carboplatino
      8 NORMALIZABLES	adriamicina
      8 NORMALIZABLES	ácido valproico
      7 PROTEINAS	PTH
      7 PROTEINAS	LH
      7 PROTEINAS	kappa
      7 PROTEINAS	gammaglobulina
      7 PROTEINAS	crioglobulinas
      7 PROTEINAS	CD56
      7 PROTEINAS	ASLO
      7 PROTEINAS	amiloide
      7 PROTEINAS	AE3
      7 NORMALIZABLES	vitaminas
      7 NORMALIZABLES	tiamina
      7 NORMALIZABLES	propofol
      7 NORMALIZABLES	pirazinamida
      7 NORMALIZABLES	oligoelementos
      7 NORMALIZABLES	nitritos
      7 NORMALIZABLES	metanefrinas
      7 NORMALIZABLES	mercurio
      7 NORMALIZABLES	levotiroxina
      7 NORMALIZABLES	ketamina
      7 NORMALIZABLES	FiO2
      7 NORMALIZABLES	Durogesic
      7 NORMALIZABLES	cefotaxima
      7 NORMALIZABLES	catecolaminas
      7 NORMALIZABLES	BCG
      7 NORMALIZABLES	atropina
      7 NORMALIZABLES	argón
      7 NO_NORMALIZABLES	ácido
      6 PROTEINAS	proteína S-100
      6 PROTEINAS	Ki67
      6 PROTEINAS	IgG4
      6 PROTEINAS	IgE
      6 PROTEINAS	HMB45
      6 PROTEINAS	HLA
      6 PROTEINAS	FR
      6 PROTEINAS	citoqueratinas
      6 PROTEINAS	CD8
      6 PROTEINAS	CD20
      6 PROTEINAS	bomba de protones
      6 PROTEINAS	beta-HCG
      6 PROTEINAS	anticuerpos anticardiolipina
      6 PROTEINAS	AA
      6 NORMALIZABLES	voriconazol
      6 NORMALIZABLES	triamcinolona
      6 NORMALIZABLES	titanio
      6 NORMALIZABLES	testosterona
      6 NORMALIZABLES	T3
      6 NORMALIZABLES	suero salino
      6 NORMALIZABLES	seda
      6 NORMALIZABLES	Rifampicina
      6 NORMALIZABLES	Prednisona
      6 NORMALIZABLES	plata
      6 NORMALIZABLES	oxaliplatino
      6 NORMALIZABLES	opioides
      6 NORMALIZABLES	micofenolato
      6 NORMALIZABLES	metotrexate
      6 NORMALIZABLES	imatinib
      6 NORMALIZABLES	hidroclorotiazida
      6 NORMALIZABLES	hematoxilina
      6 NORMALIZABLES	ganciclovir
      6 NORMALIZABLES	fluoresceína
      6 NORMALIZABLES	fenitoína
      6 NORMALIZABLES	etanercept
      6 NORMALIZABLES	eosina
      6 NORMALIZABLES	docetaxel
      6 NORMALIZABLES	Crs
      6 NORMALIZABLES	cotrimoxazol
      6 NORMALIZABLES	CO2
      6 NORMALIZABLES	Ciclofosfamida
      6 NORMALIZABLES	bendamustina
      6 NORMALIZABLES	ampicilina
      6 NORMALIZABLES	amonio
      6 NORMALIZABLES	AINES
      6 NORMALIZABLES	ácido úrico
      5 UNCLEAR	EMLA
      5 PROTEINAS	transferrina
      5 PROTEINAS	renina
      5 PROTEINAS	prolactina
      5 PROTEINAS	prealbúmina
      5 PROTEINAS	PCT
      5 PROTEINAS	lambda
      5 PROTEINAS	iPTH
      5 PROTEINAS	Infliximab
      5 PROTEINAS	IGs
      5 PROTEINAS	gamma
      5 PROTEINAS	Factor VIII
      5 PROTEINAS	CD34
      5 PROTEINAS	CD 20
      5 PROTEINAS	canakinumab
      5 PROTEINAS	anticoagulante lúpico
      5 PROTEINAS	angiotensina
      5 NORMALIZABLES	zinc
      5 NORMALIZABLES	vitamina A
      5 NORMALIZABLES	Vincristina
      5 NORMALIZABLES	vincristina
      5 NORMALIZABLES	Vancomicina
      5 NORMALIZABLES	tolvaptan
      5 NORMALIZABLES	T4
      5 NORMALIZABLES	solución salina
      5 NORMALIZABLES	Sintrom
      5 NORMALIZABLES	simvastatina
      5 NORMALIZABLES	RBV
      5 NORMALIZABLES	naproxeno
      5 NORMALIZABLES	Gentamicina
      5 NORMALIZABLES	fosfato
      5 NORMALIZABLES	etambutol
      5 NORMALIZABLES	estireno
      5 NORMALIZABLES	dobutamina
      5 NORMALIZABLES	dasatinib
      5 NORMALIZABLES	clorhexidina
      5 NORMALIZABLES	Clindamicina
      5 NORMALIZABLES	clindamicina
      5 NORMALIZABLES	claritromicina
      5 NORMALIZABLES	Cl
      5 NORMALIZABLES	Cisplatino
      5 NORMALIZABLES	Ciprofloxacino
      5 NORMALIZABLES	cidofovir
      5 NORMALIZABLES	ciclosporina
      5 NORMALIZABLES	calcitriol
      5 NORMALIZABLES	CA
      5 NORMALIZABLES	benzodiacepinas
      5 NORMALIZABLES	azul de metileno
      5 NORMALIZABLES	anfotericina B liposomal
      5 NORMALIZABLES	amoxicilina/ácido clavulánico
      5 NORMALIZABLES	alopurinol
      5 NORMALIZABLES	aldosterona
      5 NORMALIZABLES	AINE
      5 NORMALIZABLES	acetazolamida
      4 UNCLEAR	cannabis
      4 PROTEINAS	Vimentina
      4 PROTEINAS	tromboplastina
      4 PROTEINAS	somatostatina
      4 PROTEINAS	RNA
      4 PROTEINAS	Proteína C reactiva
      4 PROTEINAS	proteína
      4 PROTEINAS	polimerasa
      4 PROTEINAS	metahemoglobina
      4 PROTEINAS	interferón
      4 PROTEINAS	Hemoglobina
      4 PROTEINAS	HCG
      4 PROTEINAS	Fr
      4 PROTEINAS	factor V
      4 PROTEINAS	eritropoyetina
      4 PROTEINAS	enzimas pancreáticas
      4 PROTEINAS	CD45
      4 PROTEINAS	CD10
      4 PROTEINAS	CAM5.2
      4 PROTEINAS	bevacizumab
      4 PROTEINAS	beta
      4 PROTEINAS	antitrombina III
      4 PROTEINAS	antígeno carcinoembrionario
      4 PROTEINAS	antifosfolípido
      4 PROTEINAS	anticuerpos antitiroglobulina
      4 PROTEINAS	anticardiolipina
      4 PROTEINAS	ADN
      4 PROTEINAS	Actina
      4 PROTEINAS	AAT
      4 NORMALIZABLES	verde de indocianina
      4 NORMALIZABLES	Urbason
      4 NORMALIZABLES	urato
      4 NORMALIZABLES	torasemida
      4 NORMALIZABLES	Telaprevir
      4 NORMALIZABLES	T4l
      4 NORMALIZABLES	Sodio
      4 NORMALIZABLES	ropivacaína
      4 NORMALIZABLES	remifentanilo
      4 NORMALIZABLES	radioyodo
      4 NORMALIZABLES	PTFE
      4 NORMALIZABLES	Potasio
      4 NORMALIZABLES	PMV
      4 NORMALIZABLES	penicilina
      4 NORMALIZABLES	paclitaxel
      4 NORMALIZABLES	opiáceos
      4 NORMALIZABLES	nitroglicerina
      4 NORMALIZABLES	mórficos
      4 NORMALIZABLES	Magnesio
      4 NORMALIZABLES	linezolid
      4 NORMALIZABLES	leflunomida
      4 NORMALIZABLES	LDL
      4 NORMALIZABLES	látex
      4 NORMALIZABLES	labetalol
      4 NORMALIZABLES	Imipenem
      4 NORMALIZABLES	ifosfamida
      4 NORMALIZABLES	heparina sódica
      4 NORMALIZABLES	HC
      4 NORMALIZABLES	HBPM
      4 NORMALIZABLES	Glucosa
      4 NORMALIZABLES	gemcitabina
      4 NORMALIZABLES	formol
      4 NORMALIZABLES	fluconazol
      4 NORMALIZABLES	doxiciclina
      4 NORMALIZABLES	CU
      4 NORMALIZABLES	cloro
      4 NORMALIZABLES	CDDP
      4 NORMALIZABLES	carbamacepina
      4 NORMALIZABLES	Calcio
      4 NORMALIZABLES	bario
      4 NORMALIZABLES	aspirina
      4 NORMALIZABLES	amitriptilina
      4 NORMALIZABLES	aminas
      4 NORMALIZABLES	Amikacina
      4 NORMALIZABLES	amikacina
      4 NORMALIZABLES	alprazolam
      4 NORMALIZABLES	albendazol
      4 NORMALIZABLES	Adriamicina
      4 NORMALIZABLES	adrenalina
      4 NORMALIZABLES	acetaminofén
      4 NORMALIZABLES	AAS
      3 UNCLEAR	tabaco
      3 UNCLEAR	melanina
      3 UNCLEAR	marihuana
      3 UNCLEAR	BEP
      3 UNCLEAR	ABVD
      3 PROTEINAS	tuberculina
      3 PROTEINAS	TGP
      3 PROTEINAS	TGO
      3 PROTEINAS	ß-HCG
      3 PROTEINAS	S100
      3 PROTEINAS	RPR
      3 PROTEINAS	Rituximab
      3 PROTEINAS	ramucirumab
      3 PROTEINAS	queratina
      3 PROTEINAS	PTHi
      3 PROTEINAS	Proteínas totales
      3 PROTEINAS	pegIFN-α2a
      3 PROTEINAS	parathormona
      3 PROTEINAS	P53
      3 PROTEINAS	mucina
      3 PROTEINAS	lipasa
      3 PROTEINAS	lactato deshidrogenasa
      3 PROTEINAS	Ki-67
      3 PROTEINAS	infliximab
      3 PROTEINAS	HPA-1a
      3 PROTEINAS	HLA B27
      3 PROTEINAS	HbA1c
      3 PROTEINAS	haptoglobina
      3 PROTEINAS	GLA
      3 PROTEINAS	GFAP
      3 PROTEINAS	FSH
      3 PROTEINAS	factor anti-Xa
      3 PROTEINAS	enolasa
      3 PROTEINAS	ENA
      3 PROTEINAS	DQ2
      3 PROTEINAS	Desmina
      3 PROTEINAS	deshidrogenasa láctica
      3 PROTEINAS	Cromogranina
      3 PROTEINAS	creatinquinasa
      3 PROTEINAS	CK20
      3 PROTEINAS	ceruloplasmina
      3 PROTEINAS	CD16
      3 PROTEINAS	CD138
      3 PROTEINAS	CD 4
      3 PROTEINAS	cadenas ligeras
      3 PROTEINAS	C4d
      3 PROTEINAS	b-HCG
      3 PROTEINAS	Beta-HCG
      3 PROTEINAS	beta-gonadotropina coriónica
      3 PROTEINAS	beta-2-microglobulina
      3 PROTEINAS	Bence-Jones
      3 PROTEINAS	BCL2
      3 PROTEINAS	antimembrana basal
      3 PROTEINAS	anti-DNA
      3 PROTEINAS	anticuerpos antitransglutaminasa
      3 PROTEINAS	anti-ADN
      3 PROTEINAS	anhidrasa carbónica
      3 PROTEINAS	alfa-fetoproteína
      3 PROTEINAS	alfa-fetoproteina
      3 PROTEINAS	alfa-feto proteína
      3 PROTEINAS	aldolasa
      3 PROTEINAS	Albúmina
      3 PROTEINAS	adalimumab
      3 PROTEINAS	A1AT
      3 NORMALIZABLES	verapamilo
      3 NORMALIZABLES	venlafaxina
      3 NORMALIZABLES	valganciclovir
      3 NORMALIZABLES	Triglicéridos
      3 NORMALIZABLES	topiramato
      3 NORMALIZABLES	Tc99
      3 NORMALIZABLES	tamoxifeno
      3 NORMALIZABLES	sulfato de zinc
      3 NORMALIZABLES	solución fisiológica
      3 NORMALIZABLES	sevelamer
      3 NORMALIZABLES	salicilatos
      3 NORMALIZABLES	Rosa de Bengala
      3 NORMALIZABLES	risedronato
      3 NORMALIZABLES	progesterona
      3 NORMALIZABLES	pralidoxima
      3 NORMALIZABLES	porfirinas
      3 NORMALIZABLES	piperacilina-tazobactam
      3 NORMALIZABLES	pentoxifilina
      3 NORMALIZABLES	Paracetamol
      3 NORMALIZABLES	OP
      3 NORMALIZABLES	Omeprazol
      3 NORMALIZABLES	nylon
      3 NORMALIZABLES	nitratos
      3 NORMALIZABLES	nitrato de plata
      3 NORMALIZABLES	mivacurio
      3 NORMALIZABLES	micofenolato mofetilo
      3 NORMALIZABLES	metotrexato
      3 NORMALIZABLES	metoclopramida
      3 NORMALIZABLES	meticilin
      3 NORMALIZABLES	mesalazina
      3 NORMALIZABLES	MCT
      3 NORMALIZABLES	maribavir
      3 NORMALIZABLES	maleato de timolol
      3 NORMALIZABLES	litio
      3 NORMALIZABLES	levetiracetam
      3 NORMALIZABLES	leucovorin
      3 NORMALIZABLES	lactato
      3 NORMALIZABLES	itraconazol
      3 NORMALIZABLES	isoniazida
      3 NORMALIZABLES	irbesartán
      3 NORMALIZABLES	Hierro
      3 NORMALIZABLES	heparina de bajo peso molecular
      3 NORMALIZABLES	HDL
      3 NORMALIZABLES	glucocorticoides
      3 NORMALIZABLES	Gemcitabina
      3 NORMALIZABLES	Furosemida
      3 NORMALIZABLES	fosfomicina
      3 NORMALIZABLES	fenilefrina
      3 NORMALIZABLES	Etopósido
      3 NORMALIZABLES	eltrombopag
      3 NORMALIZABLES	dopamina
      3 NORMALIZABLES	diclofenaco
      3 NORMALIZABLES	dexketoprofeno-trometamol
      3 NORMALIZABLES	Dexametasona
      3 NORMALIZABLES	deflazacort
      3 NORMALIZABLES	codeína
      3 NORMALIZABLES	cloruro potásico
      3 NORMALIZABLES	clorambucilo
      3 NORMALIZABLES	Clorambucil
      3 NORMALIZABLES	clonazepam
      3 NORMALIZABLES	citalopram
      3 NORMALIZABLES	ciclosporina A
      3 NORMALIZABLES	cefalina
      3 NORMALIZABLES	Carboplatino
      3 NORMALIZABLES	capecitabina
      3 NORMALIZABLES	calcio iónico corregido
      3 NORMALIZABLES	azoados
      3 NORMALIZABLES	atorvastatina
      3 NORMALIZABLES	anfotericina B
      3 NORMALIZABLES	amoxicilina/clavulánico
      3 NORMALIZABLES	amiodarona
      3 NORMALIZABLES	aminoácidos
      3 NORMALIZABLES	alendronato
      3 NORMALIZABLES	AINEs
      3 NORMALIZABLES	adenosina
      3 NORMALIZABLES	ácido láctico
      3 NORMALIZABLES	5-FU
      3 NO_NORMALIZABLES	Polytech
      3 NO_NORMALIZABLES	pirazolonas
      2 UNCLEAR	gramíneas
      2 UNCLEAR	ESCHAP
      2 UNCLEAR	cigarros
      2 UNCLEAR	CHOP
      2 PROTEINAS	β-HCG
      2 PROTEINAS	α-FTP
      2 PROTEINAS	ZFY
      2 PROTEINAS	WT1
      2 PROTEINAS	ureasa
      2 PROTEINAS	TTF-1
      2 PROTEINAS	TSI
      2 PROTEINAS	TSHrh
      2 PROTEINAS	troponina
      2 PROTEINAS	trastuzumab
      2 PROTEINAS	toxina botulínica
      2 PROTEINAS	SRY
      2 PROTEINAS	SLA
      2 PROTEINAS	receptores hormonales
      2 PROTEINAS	receptores de progesterona
      2 PROTEINAS	receptores de estrógenos
      2 PROTEINAS	ranibizumab
      2 PROTEINAS	proteinas
      2 PROTEINAS	proteína C
      2 PROTEINAS	procalcitonina
      2 PROTEINAS	precipitinas
      2 PROTEINAS	PLAP
      2 PROTEINAS	Pancrease
      2 PROTEINAS	p63
      2 PROTEINAS	LH-RH
      2 PROTEINAS	LHRH
      2 PROTEINAS	lh-rh
      2 PROTEINAS	lactatodeshidrogenasa
      2 PROTEINAS	Lactato deshidrogenasa
      2 PROTEINAS	Kreón 10.000
      2 PROTEINAS	KIT
      2 PROTEINAS	Ki 67
      2 PROTEINAS	ipilimumab
      2 PROTEINAS	Interferón
      2 PROTEINAS	IgG-Kappa
      2 PROTEINAS	Ig M
      2 PROTEINAS	IFN
      2 PROTEINAS	HMB 45
      2 PROTEINAS	HHF35
      2 PROTEINAS	glucagón
      2 PROTEINAS	gammaglutamiltranspeptidasa
      2 PROTEINAS	gammaglobulinas
      2 PROTEINAS	Gammaglobulina
      2 PROTEINAS	Ferritina
      2 PROTEINAS	FAL
      2 PROTEINAS	Factor V
      2 PROTEINAS	Factor reumatoide
      2 PROTEINAS	factor II
      2 PROTEINAS	enzimas de colestasis
      2 PROTEINAS	enzima de conversión de la angiotensina
      2 PROTEINAS	enolasa neuronal específica
      2 PROTEINAS	ECR-NMDA
      2 PROTEINAS	E1
      2 PROTEINAS	Dímero D
      2 PROTEINAS	diastasa
      2 PROTEINAS	delta
      2 PROTEINAS	cromosoma Y
      2 PROTEINAS	COL1A1
      2 PROTEINAS	C-Kit
      2 PROTEINAS	c-KIT
      2 PROTEINAS	citoqueratina 7
      2 PROTEINAS	citoqueratina 20
      2 PROTEINAS	CD68
      2 PROTEINAS	CD31
      2 PROTEINAS	CD3
      2 PROTEINAS	CD1a
      2 PROTEINAS	CD117
      2 PROTEINAS	CD 8
      2 PROTEINAS	CD 68
      2 PROTEINAS	CD 34
      2 PROTEINAS	CD 3
      2 PROTEINAS	CD 117
      2 PROTEINAS	CD 10
      2 PROTEINAS	C-ANCA
      2 PROTEINAS	calcitonina
      2 PROTEINAS	CA125
      2 PROTEINAS	Ca 19.9
      2 PROTEINAS	CA 15,3
      2 PROTEINAS	CA 125
      2 PROTEINAS	Ca 125
      2 PROTEINAS	C1q
      2 PROTEINAS	BCL6
      2 PROTEINAS	bcl2
      2 PROTEINAS	B7
      2 PROTEINAS	B27
      2 PROTEINAS	AZFc
      2 PROTEINAS	AZFb
      2 PROTEINAS	AZFa
      2 PROTEINAS	aspartato aminotransferasa
      2 PROTEINAS	antitransglutaminasa
      2 PROTEINAS	anti-Ro
      2 PROTEINAS	antiperoxidasa
      2 PROTEINAS	anti-Hu
      2 PROTEINAS	Antígeno Prostático Específico
      2 PROTEINAS	antígeno galactomanano
      2 PROTEINAS	antígeno estreptocócico
      2 PROTEINAS	anticuerpos anti-VIH
      2 PROTEINAS	anticuerpos antiestreptolisina O
      2 PROTEINAS	anticuerpos anti-DNA
      2 PROTEINAS	anticuerpos anticitoplasma del neutrófilo
      2 PROTEINAS	anticuerpos anticitoplasma de neutrófilos
      2 PROTEINAS	anti-CD20
      2 PROTEINAS	anticardiolipinas
      2 PROTEINAS	Amilasa
      2 PROTEINAS	AMA
      2 PROTEINAS	ama
      2 PROTEINAS	alfafetoproteina
      2 PROTEINAS	ALAT
      2 PROTEINAS	alanina aminotransferasa
      2 PROTEINAS	AgHBs
      2 NORMALIZABLES	ZNS
      2 NORMALIZABLES	vitaminas liposolubles
      2 NORMALIZABLES	Viscofresh
      2 NORMALIZABLES	vigabatrina
      2 NORMALIZABLES	Vicryl
      2 NORMALIZABLES	valproico
      2 NORMALIZABLES	Uracilo
      2 NORMALIZABLES	TVR
      2 NORMALIZABLES	triglicéridos de cadena media
      2 NORMALIZABLES	Tramadol
      2 NORMALIZABLES	Topamax
      2 NORMALIZABLES	tinción de Gram
      2 NORMALIZABLES	tinazidina
      2 NORMALIZABLES	Timolol
      2 NORMALIZABLES	timolol
      2 NORMALIZABLES	Timoftol
      2 NORMALIZABLES	tiapride
      2 NORMALIZABLES	tetraciclinas
      2 NORMALIZABLES	tenofovir
      2 NORMALIZABLES	tenecteplasa
      2 NORMALIZABLES	TDF
      2 NORMALIZABLES	TCM
      2 NORMALIZABLES	taxol
      2 NORMALIZABLES	talco
      2 NORMALIZABLES	T4 Libre
      2 NORMALIZABLES	Surgicel
      2 NORMALIZABLES	sulfato de magnesio
      2 NORMALIZABLES	sucralfato
      2 NORMALIZABLES	solución antiséptica
      2 NORMALIZABLES	SF6
      2 NORMALIZABLES	salino
      2 NORMALIZABLES	salbutamol
      2 NORMALIZABLES	Rojo Congo
      2 NORMALIZABLES	rojo congo
      2 NORMALIZABLES	Rivaroxabán
      2 NORMALIZABLES	ritonavir
      2 NORMALIZABLES	Riluzol
      2 NORMALIZABLES	ramipril
      2 NORMALIZABLES	raltegravir
      2 NORMALIZABLES	prostaglandinas
      2 NORMALIZABLES	Prolene
      2 NORMALIZABLES	Progesterona
      2 NORMALIZABLES	prilocaína
      2 NORMALIZABLES	Prednisona Alonga
      2 NORMALIZABLES	pravastatina
      2 NORMALIZABLES	posaconazol
      2 NORMALIZABLES	Polimixina
      2 NORMALIZABLES	platino
      2 NORMALIZABLES	Pirazinamida
      2 NORMALIZABLES	pilocarpina
      2 NORMALIZABLES	penicilina oral
      2 NORMALIZABLES	parafina
      2 NORMALIZABLES	PaO2
      2 NORMALIZABLES	pantoprazol
      2 NORMALIZABLES	pamidronato
      2 NORMALIZABLES	Paclitaxel
      2 NORMALIZABLES	oxcarbazepina
      2 NORMALIZABLES	oseltamivir
      2 NORMALIZABLES	olanzapina
      2 NORMALIZABLES	Neuropatch
      2 NORMALIZABLES	neomicina
      2 NORMALIZABLES	nadolol
      2 NORMALIZABLES	MST
      2 NORMALIZABLES	moxifloxacino
      2 NORMALIZABLES	MMF
      2 NORMALIZABLES	MMC
      2 NORMALIZABLES	mirtazapina
      2 NORMALIZABLES	micofenolato mofetil
      2 NORMALIZABLES	Metotrexate
      2 NORMALIZABLES	metimazol
      2 NORMALIZABLES	meticilín
      2 NORMALIZABLES	Mesna
      2 NORMALIZABLES	Meropenem
      2 NORMALIZABLES	losartán
      2 NORMALIZABLES	Loperamida
      2 NORMALIZABLES	limonada alcalina
      2 NORMALIZABLES	letrozol
      2 NORMALIZABLES	lanreótido
      2 NORMALIZABLES	K+
      2 NORMALIZABLES	Isoniacida
      2 NORMALIZABLES	imipenen
      2 NORMALIZABLES	Ifosfamida
      2 NORMALIZABLES	I131
      2 NORMALIZABLES	His
      2 NORMALIZABLES	hidrogel
      2 NORMALIZABLES	hidratos de carbono
      2 NORMALIZABLES	hidantoína
      2 NORMALIZABLES	heparina no fraccionada
      2 NORMALIZABLES	hemosiderina
      2 NORMALIZABLES	hemina
      2 NORMALIZABLES	Goretex
      2 NORMALIZABLES	gencitabina
      2 NORMALIZABLES	Gelfoam
      2 NORMALIZABLES	Ganciclovir
      2 NORMALIZABLES	fosfato monopotásico
      2 NORMALIZABLES	foscarnet
      2 NORMALIZABLES	formalina
      2 NORMALIZABLES	flutamida
      2 NORMALIZABLES	fludocortisona
      2 NORMALIZABLES	Fludarabin
      2 NORMALIZABLES	flecainida
      2 NORMALIZABLES	filgrastim
      2 NORMALIZABLES	FE
      2 NORMALIZABLES	famciclovir
      2 NORMALIZABLES	etilefrina
      2 NORMALIZABLES	etanol
      2 NORMALIZABLES	estrógenos
      2 NORMALIZABLES	estreptomicina
      2 NORMALIZABLES	esteroide
      2 NORMALIZABLES	eritromicina
      2 NORMALIZABLES	epinefrina
      2 NORMALIZABLES	ebastina
      2 NORMALIZABLES	duloxetina
      2 NORMALIZABLES	doxorrubicina
      2 NORMALIZABLES	domperidona
      2 NORMALIZABLES	distraneurine
      2 NORMALIZABLES	dicumarínicos
      2 NORMALIZABLES	diacepam
      2 NORMALIZABLES	dextrosa
      2 NORMALIZABLES	dextrometorfano
      2 NORMALIZABLES	dexketoprofeno
      2 NORMALIZABLES	desmopresina
      2 NORMALIZABLES	desketoprofeno
      2 NORMALIZABLES	Dacarbacina
      2 NORMALIZABLES	D4T
      2 NORMALIZABLES	cuerpos cetónicos
      2 NORMALIZABLES	creatininas
      2 NORMALIZABLES	Creatina
      2 NORMALIZABLES	colistina
      2 NORMALIZABLES	Colesterol
      2 NORMALIZABLES	Colecalciferol
      2 NORMALIZABLES	cobalto-60
      2 NORMALIZABLES	clotrimazol
      2 NORMALIZABLES	clopidogrel
      2 NORMALIZABLES	cisatracurio
      2 NORMALIZABLES	cinitaprida
      2 NORMALIZABLES	cinacalcet
      2 NORMALIZABLES	cefuroxima-axetilo
      2 NORMALIZABLES	cefuroxima axetil
      2 NORMALIZABLES	Ceftriaxona
      2 NORMALIZABLES	ceftazidima
      2 NORMALIZABLES	cefazolina
