      1 NO_NORMALIZABLES	acido
      1 NORMALIZABLES	ácido zoledrómico
      1 NORMALIZABLES	ácido zoledrónico
      1 NORMALIZABLES	Ácido Zoledrónico
      1 NORMALIZABLES	ácidos grasos de cadena media
      1 NORMALIZABLES	ácidos grasos monoinsaturados
      1 NORMALIZABLES	ácidos grasos omega 3
      1 NORMALIZABLES	Adenocor
      3 NORMALIZABLES	adenosina
      2 NORMALIZABLES	Adolonta
      4 NORMALIZABLES	adrenalina
      4 NORMALIZABLES	adriamicina
      2 NORMALIZABLES	Adriamicina
      1 NORMALIZABLES	Adriamicina liposomial
      1 NORMALIZABLES	AGCM
      1 NORMALIZABLES	agua oxigenada
      4 NORMALIZABLES	AINE
      3 NORMALIZABLES	AINEs
      1 NORMALIZABLES	AINE-s
      4 NORMALIZABLES	AINES
      2 NORMALIZABLES	albendazol
      1 NORMALIZABLES	alcohol de polivinilo
      1 NORMALIZABLES	alcohol metílico
      3 NORMALIZABLES	aldosterona
      2 NORMALIZABLES	alendronato
      1 NORMALIZABLES	alfacalcidiol
      1 NORMALIZABLES	alginato
      1 NORMALIZABLES	algodón
      3 NORMALIZABLES	alopurinol
      2 NORMALIZABLES	Alopurinol
      4 NORMALIZABLES	alprazolam
      1 NORMALIZABLES	aluminio
      1 NORMALIZABLES	Ameride
      1 NORMALIZABLES	amfotericina-B
      2 NORMALIZABLES	amikacina
      4 NORMALIZABLES	Amikacina
      1 NORMALIZABLES	amikazina
      2 NORMALIZABLES	aminoácidos
      3 NORMALIZABLES	amiodarona
      1 NORMALIZABLES	amisulpi-ride
      1 NORMALIZABLES	Amisulpride
      4 NORMALIZABLES	amitriptilina
      9 NORMALIZABLES	amlodipino
      6 NORMALIZABLES	amonio
      7 NORMALIZABLES	amoxicilina
      1 NORMALIZABLES	Amoxicilina
      1 NORMALIZABLES	amoxicilina + clavulánico
      3 NORMALIZABLES	amoxicilina/ácido clavulánico
      1 NORMALIZABLES	amoxicilina/clavulánico
      1 NORMALIZABLES	amoxicilina-ácido clavulánico
      8 NORMALIZABLES	amoxicilina-clavulánico
      1 NORMALIZABLES	amoxicilna-clavulánico
      1 NORMALIZABLES	amoxilina-clavulánico
      2 NORMALIZABLES	ampicilina
      1 NORMALIZABLES	anakinra
      1 NORMALIZABLES	Anakinra
      1 NORMALIZABLES	Anfotericina
      3 NORMALIZABLES	anfotericina B
      3 NORMALIZABLES	anfotericina B liposomal
      1 NORMALIZABLES	anticumarínicos
      7 NORMALIZABLES	antiinflamatorios no esteroideos
      2 NORMALIZABLES	APC
      1 NORMALIZABLES	Arg
      1 NORMALIZABLES	arginina
      6 NORMALIZABLES	argón
      1 NORMALIZABLES	argón plasma
      3 NORMALIZABLES	aspirina
      2 NORMALIZABLES	aspirinas
      8 NORMALIZABLES	atenolol
      1 NORMALIZABLES	Atenolol
      2 NORMALIZABLES	atorvastatina
      5 NORMALIZABLES	atropina
      1 NORMALIZABLES	Avandia
      1 NORMALIZABLES	Azathioprina
      1 NORMALIZABLES	Azathiproprina
     11 NORMALIZABLES	azatioprina
      2 NORMALIZABLES	azoados
      1 NORMALIZABLES	Azopt
      1 NORMALIZABLES	aztreonam
      5 NORMALIZABLES	azul de metileno
      1 NORMALIZABLES	baclofeno
      1 NORMALIZABLES	bario
      1 NORMALIZABLES	barnidipino
      5 NORMALIZABLES	BCG
      1 NORMALIZABLES	BCG intravesical
      1 NORMALIZABLES	BD
      1 NORMALIZABLES	beclometasona
      1 NORMALIZABLES	bemiparina
      1 NORMALIZABLES	benzodiacepina
      4 NORMALIZABLES	benzodiacepinas
      1 NORMALIZABLES	Besilato de atracurio
      1 NORMALIZABLES	betafosfato tricálcico
      2 NORMALIZABLES	betahistina
      1 NORMALIZABLES	betalactámicos
      1 NORMALIZABLES	beta-lactámicos
      1 NORMALIZABLES	betametasona
      1 NORMALIZABLES	Betametazona
      2 NORMALIZABLES	Bicalutamida
     17 NORMALIZABLES	bicarbonato
      1 NORMALIZABLES	Bicarbonato
      1 NORMALIZABLES	bicarbonato sódico
      2 NORMALIZABLES	bifosfonatos
      1 NORMALIZABLES	Biguanid
     18 NORMALIZABLES	bilirrubina
      2 NORMALIZABLES	Bilirrubinas
      1 NORMALIZABLES	bimatoprost
      1 NORMALIZABLES	bleom<icina
      2 NORMALIZABLES	Bleomicina
      1 NORMALIZABLES	brimonidina
      1 NORMALIZABLES	brinzolamida
      2 NORMALIZABLES	brivudina
      2 NORMALIZABLES	bromazepam
      1 NORMALIZABLES	bromazepan
      1 NORMALIZABLES	bromhidrato de dextrometorfano
      1 NORMALIZABLES	BT
      2 NORMALIZABLES	BUN
      6 NORMALIZABLES	bupivacaína
      4 NORMALIZABLES	Ca
     11 NORMALIZABLES	cadmio
      1 NORMALIZABLES	cafeína
      1 NORMALIZABLES	calcifediol
     33 NORMALIZABLES	calcio
      4 NORMALIZABLES	Calcio
      1 NORMALIZABLES	calcio corregido
      1 NORMALIZABLES	Calcio corregido
      3 NORMALIZABLES	calcio iónico corregido
      1 NORMALIZABLES	calcitriol
      2 NORMALIZABLES	Calcitriol
      1 NORMALIZABLES	candesartan
      2 NORMALIZABLES	candesartán
      3 NORMALIZABLES	capecitabina
      1 NORMALIZABLES	Capecitabina
      2 NORMALIZABLES	capsaicina
      1 NORMALIZABLES	capsaícina
      1 NORMALIZABLES	captopril
      4 NORMALIZABLES	carbamacepina
      1 NORMALIZABLES	carbamazepina
      1 NORMALIZABLES	Carbamazepina
      1 NORMALIZABLES	carbocisteína
      2 NORMALIZABLES	carbón activado
      4 NORMALIZABLES	carbonato cálcico
      1 NORMALIZABLES	Carbonato cálcico
      8 NORMALIZABLES	carboplatino
      2 NORMALIZABLES	Carboplatino
      1 NORMALIZABLES	carburo de tungsteno
      1 NORMALIZABLES	carvedilol
      1 NORMALIZABLES	caspofungina
      1 NORMALIZABLES	Caspofungina
      7 NORMALIZABLES	catecolaminas
      3 NORMALIZABLES	CDDP
      1 NORMALIZABLES	cefalina
      1 NORMALIZABLES	cefalotina
      1 NORMALIZABLES	cefazolina
      1 NORMALIZABLES	Cefazolina
      1 NORMALIZABLES	cefepime
      6 NORMALIZABLES	cefotaxima
      1 NORMALIZABLES	Cefotaxima
      1 NORMALIZABLES	ceftazidima
      1 NORMALIZABLES	Ceftazidima
      5 NORMALIZABLES	ceftriaxona
      1 NORMALIZABLES	Ceftriaxona
      1 NORMALIZABLES	cefuroxima-axetilo
      1 NORMALIZABLES	Cefuroxima-axetilo
      1 NORMALIZABLES	Cetirizina
      1 NORMALIZABLES	Cetonas
      1 NORMALIZABLES	cHDL
      1 NORMALIZABLES	Chibroxín
      6 NORMALIZABLES	ciclofosfamida
      2 NORMALIZABLES	Ciclofosfamida
      1 NORMALIZABLES	ciclopentolato
      1 NORMALIZABLES	ciclopléjico
      1 NORMALIZABLES	Ciclopléjico
      4 NORMALIZABLES	ciclosporina
      3 NORMALIZABLES	ciclosporina A
      1 NORMALIZABLES	Cilastatina
      2 NORMALIZABLES	cinitaprida
      8 NORMALIZABLES	ciprofloxacino
      3 NORMALIZABLES	Ciprofloxacino
      2 NORMALIZABLES	cisatracurio
      1 NORMALIZABLES	cisplatin
      8 NORMALIZABLES	cisplatino
      5 NORMALIZABLES	Cisplatino
      3 NORMALIZABLES	citalopram
      1 NORMALIZABLES	citrato potásico
      5 NORMALIZABLES	Cl
      1 NORMALIZABLES	claritromicina
      1 NORMALIZABLES	claversal
      1 NORMALIZABLES	c-LDL
      3 NORMALIZABLES	clindamicina
      4 NORMALIZABLES	Clindamicina
      1 NORMALIZABLES	clioquinol
      1 NORMALIZABLES	Clonacepam
      1 NORMALIZABLES	clonazepam
      2 NORMALIZABLES	clopidogrel
      3 NORMALIZABLES	Clorambucil
      3 NORMALIZABLES	clorambucilo
      3 NORMALIZABLES	clorhexidina
      1 NORMALIZABLES	clorhidrato de pseudoefedrina
      2 NORMALIZABLES	cloro
      1 NORMALIZABLES	Cloro
      1 NORMALIZABLES	clortalidona
      1 NORMALIZABLES	cloruro mórfico
      3 NORMALIZABLES	cloruro potásico
      1 NORMALIZABLES	clotrimazol
      7 NORMALIZABLES	cloxacilina
      2 NORMALIZABLES	CO2
      1 NORMALIZABLES	Cobalaminas
      1 NORMALIZABLES	cobalto
      2 NORMALIZABLES	cobalto-60
      5 NORMALIZABLES	cobre
      5 NORMALIZABLES	cocaína
      3 NORMALIZABLES	codeína
      1 NORMALIZABLES	Codeína
      1 NORMALIZABLES	colchicina
      1 NORMALIZABLES	colecalciferol
      2 NORMALIZABLES	Colecalciferol
     15 NORMALIZABLES	colesterol
      2 NORMALIZABLES	Colesterol
      1 NORMALIZABLES	Colesterol HDL
      1 NORMALIZABLES	colesterol-HDL
      1 NORMALIZABLES	colesterol-LDL
      2 NORMALIZABLES	colistina
      1 NORMALIZABLES	condroitin sulfato
      1 NORMALIZABLES	Contour
      1 NORMALIZABLES	coproporfirinas
     10 NORMALIZABLES	corticoide
     56 NORMALIZABLES	corticoides
      1 NORMALIZABLES	corticosteroide
      1 NORMALIZABLES	corticosteroides
      7 NORMALIZABLES	cortisol
      3 NORMALIZABLES	cotrimoxazol
      1 NORMALIZABLES	CPT11
      8 NORMALIZABLES	Cr
      1 NORMALIZABLES	crea
      1 NORMALIZABLES	Creat
      2 NORMALIZABLES	Creatina
     88 NORMALIZABLES	creatinina
      9 NORMALIZABLES	Creatinina
      2 NORMALIZABLES	creatininas
      5 NORMALIZABLES	Crs
      1 NORMALIZABLES	Cu
      2 NORMALIZABLES	cuerpos cetónicos
      1 NORMALIZABLES	Dabigatran
      1 NORMALIZABLES	dacarbacina
      2 NORMALIZABLES	Dacarbacina
      1 NORMALIZABLES	Dacarbazina
      1 NORMALIZABLES	dactinomicina
      1 NORMALIZABLES	Daptomicina
      1 NORMALIZABLES	Darunavir
      2 NORMALIZABLES	deflazacort
      1 NORMALIZABLES	desketoprofeno
      1 NORMALIZABLES	desmopresina
     12 NORMALIZABLES	dexametasona
      1 NORMALIZABLES	Dexametasona
      2 NORMALIZABLES	dexketoprofeno
      1 NORMALIZABLES	Dexketoprofeno trometamol
      3 NORMALIZABLES	dexketoprofeno-trometamol
      1 NORMALIZABLES	dextrometorfano
      2 NORMALIZABLES	dextrosa
      2 NORMALIZABLES	diacepam
      1 NORMALIZABLES	Diazapam
      7 NORMALIZABLES	diazepam
      3 NORMALIZABLES	diclofenaco
      1 NORMALIZABLES	Diclofenaco
      1 NORMALIZABLES	dicloxacilina
      1 NORMALIZABLES	dicumarinicos
      2 NORMALIZABLES	dicumarínicos
      1 NORMALIZABLES	Difehilhidantoína
      1 NORMALIZABLES	Difenilhidantoína
      2 NORMALIZABLES	distraneurine
      1 NORMALIZABLES	diurético de asa
      1 NORMALIZABLES	diuréticos tiazídicos
      5 NORMALIZABLES	dobutamina
      4 NORMALIZABLES	docetaxel
      1 NORMALIZABLES	Docetaxel
      2 NORMALIZABLES	dopamina
      1 NORMALIZABLES	doxaciclina
      1 NORMALIZABLES	doxazosina
      1 NORMALIZABLES	doxiciclina
      1 NORMALIZABLES	Doxiciclina
      1 NORMALIZABLES	doxorrubicina
      1 NORMALIZABLES	doxorubicina
      1 NORMALIZABLES	Doxorubicina
      1 NORMALIZABLES	D-penicilamina
      2 NORMALIZABLES	duloxetina
      1 NORMALIZABLES	Dysport
      2 NORMALIZABLES	ebastina
      1 NORMALIZABLES	edrofonio
      1 NORMALIZABLES	Emtricitabina
      9 NORMALIZABLES	enalapril
      1 NORMALIZABLES	Enantyum
      1 NORMALIZABLES	Enantyun
      5 NORMALIZABLES	enoxaparina
      4 NORMALIZABLES	eosina
      2 NORMALIZABLES	epinefrina
      1 NORMALIZABLES	epirrubicina
      1 NORMALIZABLES	Epirrubicina
      1 NORMALIZABLES	epirubicina
      1 NORMALIZABLES	epoprostenol sódico
      1 NORMALIZABLES	eritromicina
      1 NORMALIZABLES	ertapenem
      8 NORMALIZABLES	espironolactona
      1 NORMALIZABLES	Espironolactona
      6 NORMALIZABLES	esteroides
      5 NORMALIZABLES	estireno
      1 NORMALIZABLES	estradiol
      2 NORMALIZABLES	estreptomicina
      1 NORMALIZABLES	Estreptomicina
      1 NORMALIZABLES	estrógenos
      1 NORMALIZABLES	Estroncio
      4 NORMALIZABLES	etambutol
      6 NORMALIZABLES	etanercept
      1 NORMALIZABLES	etanol
      2 NORMALIZABLES	etilefrina
      1 NORMALIZABLES	etomidato
      5 NORMALIZABLES	etopósido
      3 NORMALIZABLES	Etopósido
      1 NORMALIZABLES	ezetimibe
      2 NORMALIZABLES	famciclovir
      1 NORMALIZABLES	Fe
      3 NORMALIZABLES	fenilefrina
      1 NORMALIZABLES	fenitoina
      4 NORMALIZABLES	fenitoína
      1 NORMALIZABLES	Fenitoína
      1 NORMALIZABLES	fenobarbital
      1 NORMALIZABLES	fenofibrato
     11 NORMALIZABLES	fentanilo
      1 NORMALIZABLES	filgastrim
      2 NORMALIZABLES	filgrastim
      1 NORMALIZABLES	flecainida
      3 NORMALIZABLES	fluconazol
      1 NORMALIZABLES	Fluconazol
      2 NORMALIZABLES	Fludarabin
      2 NORMALIZABLES	fludocortisona
      1 NORMALIZABLES	fluoracilo
      2 NORMALIZABLES	fluoresceína
      1 NORMALIZABLES	fluoresceína sódica
      1 NORMALIZABLES	fluoroglucosa
      1 NORMALIZABLES	fluorouracilo
      2 NORMALIZABLES	flutamida
      1 NORMALIZABLES	folato
      1 NORMALIZABLES	folatos
      1 NORMALIZABLES	folinato cálcico
      1 NORMALIZABLES	formalina
      3 NORMALIZABLES	formol
      1 NORMALIZABLES	Fortimel
      3 NORMALIZABLES	fosfato
      1 NORMALIZABLES	Fosfato
      1 NORMALIZABLES	fosfato amónico magnésico
      2 NORMALIZABLES	fosfato monopotásico
      3 NORMALIZABLES	fosfomicina
     14 NORMALIZABLES	fósforo
      1 NORMALIZABLES	fotemustina
      7 NORMALIZABLES	furosemida
      2 NORMALIZABLES	Furosemida
      1 NORMALIZABLES	gabapentina
      7 NORMALIZABLES	gadolinio
      1 NORMALIZABLES	Gadolinio
      1 NORMALIZABLES	gadolinium-DTPA
      1 NORMALIZABLES	ganciclovir
      2 NORMALIZABLES	Ganciclovir
      2 NORMALIZABLES	Gelfoam
      2 NORMALIZABLES	gemcitabina
      2 NORMALIZABLES	Gemcitabina
      1 NORMALIZABLES	Gemzitabina
      2 NORMALIZABLES	gencitabina
      5 NORMALIZABLES	gentamicina
      3 NORMALIZABLES	Gentamicina
      1 NORMALIZABLES	glibenclamida
      1 NORMALIZABLES	glimepirida
      1 NORMALIZABLES	glinclazida
      1 NORMALIZABLES	glipizida
      1 NORMALIZABLES	gluconato cálcico
     27 NORMALIZABLES	glucosa
      2 NORMALIZABLES	Glucosa
      1 NORMALIZABLES	Goretex
      1 NORMALIZABLES	Gore-tex
      1 NORMALIZABLES	Goserelina
      1 NORMALIZABLES	granufoam
      1 NORMALIZABLES	Guanina
      1 NORMALIZABLES	H
      1 NORMALIZABLES	haloperidol
      1 NORMALIZABLES	Haloperidol
      3 NORMALIZABLES	HBPM
      6 NORMALIZABLES	HCO3
      3 NORMALIZABLES	HDL
      4 NORMALIZABLES	hematoxilina
      1 NORMALIZABLES	Hematoxilina
      2 NORMALIZABLES	hemina
      7 NORMALIZABLES	heparina
      3 NORMALIZABLES	heparina de bajo peso molecular
      1 NORMALIZABLES	heparina Na
      4 NORMALIZABLES	heparina sódica
      1 NORMALIZABLES	hexafluoruro de azufre
      1 NORMALIZABLES	hidantoína
      1 NORMALIZABLES	hidorcloruro de amytriptilina
      1 NORMALIZABLES	hidroclorotiacida
      6 NORMALIZABLES	hidroclorotiazida
      1 NORMALIZABLES	hidrocortisona
      1 NORMALIZABLES	hidroxicloroquina
     14 NORMALIZABLES	hierro
      2 NORMALIZABLES	Hierro
      1 NORMALIZABLES	His
      1 NORMALIZABLES	histidina
      1 NORMALIZABLES	homocisteína
      5 NORMALIZABLES	hormonas tiroideas
      1 NORMALIZABLES	HPBM
      8 NORMALIZABLES	ibuprofeno
      2 NORMALIZABLES	ifosfamida
      2 NORMALIZABLES	Ifosfamida
      1 NORMALIZABLES	Ifosmamida
      1 NORMALIZABLES	imipenem
      3 NORMALIZABLES	Imipenem
      1 NORMALIZABLES	imipenen
      1 NORMALIZABLES	Imurel
      1 NORMALIZABLES	indapamida
      1 NORMALIZABLES	Iomeron 400
      3 NORMALIZABLES	irbesartán
      1 NORMALIZABLES	irinotecán
      1 NORMALIZABLES	isodine
      6 NORMALIZABLES	isoniacida
      2 NORMALIZABLES	Isoniacida
      3 NORMALIZABLES	isoniazida
      1 NORMALIZABLES	Isoniazida
      2 NORMALIZABLES	itraconazol
     17 NORMALIZABLES	K
      1 NORMALIZABLES	K+
      1 NORMALIZABLES	Kenacort®-A
      1 NORMALIZABLES	KeraOs
      3 NORMALIZABLES	ketamina
      1 NORMALIZABLES	Konakión
      3 NORMALIZABLES	labetalol
      3 NORMALIZABLES	lactato
      1 NORMALIZABLES	Lactato
      1 NORMALIZABLES	lactato de magnesio
      1 NORMALIZABLES	lactato Magnésico
      1 NORMALIZABLES	Lactato Magnésico
      1 NORMALIZABLES	lactosa
      1 NORMALIZABLES	lactulosa
      1 NORMALIZABLES	Lassar
      2 NORMALIZABLES	látex
      3 NORMALIZABLES	LDL
      1 NORMALIZABLES	lercanidipino
      2 NORMALIZABLES	letrozol
      3 NORMALIZABLES	leucovorin
      1 NORMALIZABLES	Leuprorelina
      1 NORMALIZABLES	LEV
      1 NORMALIZABLES	levetiracepam
      3 NORMALIZABLES	levetiracetam
      1 NORMALIZABLES	levetirazepam
      5 NORMALIZABLES	levofloxacino
      1 NORMALIZABLES	Levofloxacino
      1 NORMALIZABLES	levotirosina
      5 NORMALIZABLES	levotiroxina
      1 NORMALIZABLES	Levotiroxina
      9 NORMALIZABLES	lidocaína
      1 NORMALIZABLES	linezolid
      1 NORMALIZABLES	Linezolid
      1 NORMALIZABLES	Lioresal
      7 NORMALIZABLES	lípidos
      1 NORMALIZABLES	lisinopril
      3 NORMALIZABLES	litio
      2 NORMALIZABLES	Loperamida
      1 NORMALIZABLES	lorazepam
      1 NORMALIZABLES	Lorazepam
      1 NORMALIZABLES	losartan
      1 NORMALIZABLES	losartán
      1 NORMALIZABLES	losartán postásico
      1 NORMALIZABLES	lovastatina
      1 NORMALIZABLES	MAG-3
      1 NORMALIZABLES	MAG-3-Tc-99m
     13 NORMALIZABLES	magnesio
      4 NORMALIZABLES	Magnesio
      2 NORMALIZABLES	maleato de timolol
      1 NORMALIZABLES	Manidon retard
      1 NORMALIZABLES	maprotilina
      1 NORMALIZABLES	marlex
      2 NORMALIZABLES	MCT
      1 NORMALIZABLES	mepivacaína
      6 NORMALIZABLES	mercurio
      4 NORMALIZABLES	meropenem
      2 NORMALIZABLES	Meropenem
      3 NORMALIZABLES	mesalazina
      1 NORMALIZABLES	Mesna
      1 NORMALIZABLES	MESNA
      1 NORMALIZABLES	metacolina
      3 NORMALIZABLES	metamizol
      1 NORMALIZABLES	metanamina
      1 NORMALIZABLES	metanefrina
      6 NORMALIZABLES	metanefrinas
      1 NORMALIZABLES	Metasystox
     11 NORMALIZABLES	metformina
      1 NORMALIZABLES	Metformina
      2 NORMALIZABLES	meticilin
      2 NORMALIZABLES	meticilín
      1 NORMALIZABLES	meticilina
      1 NORMALIZABLES	metilcetona
      1 NORMALIZABLES	Metilcetona
      1 NORMALIZABLES	metilmetacrilato
     12 NORMALIZABLES	metilprednisolona
      1 NORMALIZABLES	Metilprednisolona
      2 NORMALIZABLES	metimazol
      2 NORMALIZABLES	metoclopramida
      1 NORMALIZABLES	metoprolol
      4 NORMALIZABLES	metotrexate
      1 NORMALIZABLES	Metotrexate
      4 NORMALIZABLES	metronidazol
      1 NORMALIZABLES	Metronidazol
      1 NORMALIZABLES	metrotexato
      7 NORMALIZABLES	Mg
      5 NORMALIZABLES	micofenolato
      1 NORMALIZABLES	micofenolato de mofetilo
      1 NORMALIZABLES	micofenolato mofetil
      2 NORMALIZABLES	micofenolato mofetilo
      5 NORMALIZABLES	midazolam
      1 NORMALIZABLES	Midazolam
      1 NORMALIZABLES	mirtazapina
      1 NORMALIZABLES	mitomicina
      1 NORMALIZABLES	Mitoxantrone
      2 NORMALIZABLES	MMC
      1 NORMALIZABLES	Mn
      1 NORMALIZABLES	mononitrato de isosorbida
      1 NORMALIZABLES	montelukast
      1 NORMALIZABLES	Montelukast
      3 NORMALIZABLES	mórficos
     11 NORMALIZABLES	morfina
      1 NORMALIZABLES	Moxifloxacino
      2 NORMALIZABLES	MST
      1 NORMALIZABLES	mupirocina
     15 NORMALIZABLES	Na
      1 NORMALIZABLES	NaCl
      2 NORMALIZABLES	nadolol
      1 NORMALIZABLES	Nalbufina
      5 NORMALIZABLES	naproxeno
      1 NORMALIZABLES	neomicina
      1 NORMALIZABLES	Nervinex
      1 NORMALIZABLES	Nervobión
      2 NORMALIZABLES	Neuropatch
      1 NORMALIZABLES	Nistatina
      2 NORMALIZABLES	nitrato de plata
      1 NORMALIZABLES	nitratos
      4 NORMALIZABLES	nitritos
      1 NORMALIZABLES	Nitrofural
      1 NORMALIZABLES	nitrógeno
      4 NORMALIZABLES	nitroglicerina
      1 NORMALIZABLES	nitroprusiato
      8 NORMALIZABLES	noradrenalina
      1 NORMALIZABLES	normetanefrina
      1 NORMALIZABLES	normetanefrinas
     10 NORMALIZABLES	NPT
      1 NORMALIZABLES	nucleótidos
      1 NORMALIZABLES	nylon
      7 NORMALIZABLES	O2
      1 NORMALIZABLES	octeótrido
      1 NORMALIZABLES	octreótide
      1 NORMALIZABLES	Oil-Red
      2 NORMALIZABLES	olanzapina
      3 NORMALIZABLES	oligoelementos
     17 NORMALIZABLES	omeprazol
      3 NORMALIZABLES	Omeprazol
      3 NORMALIZABLES	OP
      9 NORMALIZABLES	opioide
      4 NORMALIZABLES	opioides
      2 NORMALIZABLES	oseltamivir
      6 NORMALIZABLES	oxaliplatino
      1 NORMALIZABLES	OXC
      1 NORMALIZABLES	oxcarbacepina
      2 NORMALIZABLES	oxcarbazepina
      1 NORMALIZABLES	oxidemetón-metilo
      1 NORMALIZABLES	óxido nitroso
      1 NORMALIZABLES	oxigeno
     16 NORMALIZABLES	oxígeno
      1 NORMALIZABLES	Oxycontin
      1 NORMALIZABLES	Oxynorm
      8 NORMALIZABLES	P
      4 NORMALIZABLES	paclitaxel
      2 NORMALIZABLES	Paclitaxel
      1 NORMALIZABLES	pantoprazol
      1 NORMALIZABLES	Pantoprazol
     10 NORMALIZABLES	paracetamol
      3 NORMALIZABLES	Paracetamol
      2 NORMALIZABLES	parafina
      1 NORMALIZABLES	paroxetina
      9 NORMALIZABLES	PAS
      1 NORMALIZABLES	penicilina
      1 NORMALIZABLES	Penicilina G Benzatina
      1 NORMALIZABLES	Penicilina G sódica
      1 NORMALIZABLES	penicilina G-benzatina
      1 NORMALIZABLES	penicilina sódica
      1 NORMALIZABLES	pentoxifilina
      1 NORMALIZABLES	perfluoropropano
      1 NORMALIZABLES	periodic acid Schiff
      1 NORMALIZABLES	petidina
      1 NORMALIZABLES	pilocarpina
      1 NORMALIZABLES	piperacilina/tazobactam
      2 NORMALIZABLES	piperacilina-tazobactam
      6 NORMALIZABLES	pirazinamida
      2 NORMALIZABLES	Pirazinamida
      1 NORMALIZABLES	piridostigmina
      1 NORMALIZABLES	piridoxina
      1 NORMALIZABLES	pirimetamina
      1 NORMALIZABLES	Pirimetamina
      2 NORMALIZABLES	plata
      1 NORMALIZABLES	platino
      1 NORMALIZABLES	plomo
      1 NORMALIZABLES	polidocanol
      1 NORMALIZABLES	poliinsaturados
      2 NORMALIZABLES	Polimixina
      1 NORMALIZABLES	polipropileno
      1 NORMALIZABLES	politetrafluoroetileno
      1 NORMALIZABLES	poliuretano
      3 NORMALIZABLES	porfirinas
      2 NORMALIZABLES	posaconazol
     21 NORMALIZABLES	potasio
      3 NORMALIZABLES	Potasio
      3 NORMALIZABLES	pralidoxima
      1 NORMALIZABLES	Prasugrel
      2 NORMALIZABLES	pravastatina
     55 NORMALIZABLES	prednisona
      4 NORMALIZABLES	Prednisona
     11 NORMALIZABLES	pregabalina
      2 NORMALIZABLES	prilocaína
      1 NORMALIZABLES	procaína
      1 NORMALIZABLES	Procarbazina
      3 NORMALIZABLES	progesterona
      1 NORMALIZABLES	Progesterona
      1 NORMALIZABLES	Prolene
      1 NORMALIZABLES	propanolol
      1 NORMALIZABLES	propofol
      1 NORMALIZABLES	Propofol
      1 NORMALIZABLES	propranolol
      1 NORMALIZABLES	prostaglandinas
      1 NORMALIZABLES	protamina
      1 NORMALIZABLES	pseudoefedrina
      4 NORMALIZABLES	PTFE
      1 NORMALIZABLES	PVA
      1 NORMALIZABLES	quinina
      1 NORMALIZABLES	quinolona
      1 NORMALIZABLES	R
      2 NORMALIZABLES	ramipril
      1 NORMALIZABLES	ranitidina
      1 NORMALIZABLES	Ranitidina
